cth_code,description,bcd_rate,unit,chapter,source,scrape_timestamp
84714110,LAPTOPS,10%,NOS,84,icegate,2026-03-27T02:00:00
84714120,PERSONAL COMPUTERS,10%,NOS,84,icegate,2026-03-27T02:00:00
84714910,SERVERS,10%,NOS,84,icegate,2026-03-27T02:00:00
85171210,MOBILE PHONES,15%,NOS,85,icegate,2026-03-27T02:00:00
85171290,SMARTPHONES,15%,NOS,85,icegate,2026-03-27T02:00:00
90181110,ELECTROCARDIOGRAPHS,7.5%,NOS,90,icegate,2026-03-27T02:00:00
90183110,SYRINGES,7.5%,NOS,90,icegate,2026-03-27T02:00:00
84733010,KEYBOARD,10%,NOS,84,icegate,2026-03-27T02:00:00
84733020,MOUSE,10%,NOS,84,icegate,2026-03-27T02:00:00
85287110,LCD MONITORS,10%,NOS,85,icegate,2026-03-27T02:00:00
